date,site_name,site_status
5/16/2018,N0489,"A47,A28,A41,A48"
5/16/2018,N0490,"on-air,A9 ,A7"
5/16/2018,N0491,"off-air,A35,A77"
5/16/2018,N0492,A16
5/16/2018,N0493,"A115,A16"
5/16/2018,N0494,"A2,A11,A28"
5/16/2018,N0495,"A55,A11,A74,A52"
5/16/2018,N0496,"A11,A48"
5/16/2018,N0497,"A87,A37"
5/16/2018,N0498,"on-air,A62,A21"
5/16/2018,N0499,"A8,A87,A48"
5/16/2018,N0500,"A30,A28,A16"
5/16/2018,N0501,"A5,A8,off-air,A7,A31,A43"
5/16/2018,N0502,"A38,A9 ,A64,A39,A20,A21,A28,A49,A31,A16"
5/16/2018,N0503,"A28,A49"
5/16/2018,N0504,"on-air,A23"
5/16/2018,N0505,"A5,A11,A6,A21,A95"
5/16/2018,N0506,"A20,A47"
5/16/2018,N0507,"A47,A30,A52"
5/16/2018,N0508,"A5,A38,A7,A21,A77,A43,A116,A48"
5/16/2018,N0509,A63
5/16/2018,N0510,"A7,A37,A52,A89"
5/16/2018,N0511,A28
5/16/2018,N0512,on-air
5/16/2018,N0513,A16
5/16/2018,N0514,"A55,A26,A56,A33,on-air,A117,A96,A78,A71,A66,A7,A28,A22,A108,A54,A32"
5/16/2018,N0515,"A11,A6"
5/16/2018,N0516,"A6,A21,A25"
5/16/2018,N0517,A82
5/16/2018,N0518,"A21,A43"
5/16/2018,N0519,"A2,A56,A11,A14,A30,A31,A52"
5/16/2018,N0520,"A50,A38,A11,on-air,off-air"
5/16/2018,N0521,"A33,A76"
5/16/2018,N0522,"A11,A1"
5/16/2018,N0523,A28
5/16/2018,N0524,"on-air,A6,A78,A1,A21,A31,A41"
5/16/2018,N0525,"A94,A6"
5/16/2018,N0526,"A2,A64,off-air,A28"
5/16/2018,N0527,A49
5/16/2018,N0528,A28
5/16/2018,N0529,"A5,on-air,A49,A20,A91,A48"
5/16/2018,N0530,"A20,A21,A28,A42"
5/16/2018,N0531,"A7,A72,A22"
5/16/2018,N0532,"A5,A38,on-air,A74,A100,A69,A7,A77,A22"
5/16/2018,N0533,"A55,A8,on-air,A14"
5/16/2018,N0534,"A2,A21"
5/16/2018,N0535,A27
5/16/2018,N0536,"A27,off-air"
5/16/2018,N0537,"A27,A5,A8,A23,A15,A65,A63,off-air,A52,A54,A48"
5/16/2018,N0538,A11
5/16/2018,N0539,"A6,A31,A32"
5/16/2018,N0540,"A46,on-air,A6,A47,A19,A21,A28"
5/16/2018,N0541,on-air
5/16/2018,N0542,"A8,on-air,A23,A35,A21"
5/16/2018,N0543,on-air
5/16/2018,N0544,"A38,A11"
5/16/2018,N0545,"A86,A31"
5/16/2018,N0546,A22
5/16/2018,N0547,"A50,A63"
5/16/2018,N0548,A89
5/16/2018,N0549,"off-air,A28,A104,A32"
5/16/2018,N0550,A45
5/16/2018,N0551,A45
5/16/2018,N0552,"A11,A23,A84,A78,A28,A16,A80"
5/16/2018,N0553,A45
5/16/2018,N0554,"A23,A57,off-air,A61,A51"
5/16/2018,N0555,"A14,A31,A32"
5/16/2018,N0556,"A11,on-air,A6,A63,A21,A28"
5/16/2018,N0557,on-air
5/16/2018,N0558,"A26,A5,A94,on-air,A23,A6,A57,A90"
5/16/2018,N0559,"A46,off-air"
5/16/2018,N0560,A28
5/16/2018,N0561,"A31,A13"
5/16/2018,N0562,"off-air,A7,A13,A37,A48"
5/16/2018,N0563,"A8,on-air,A21,A43"
5/16/2018,N0564,"A74,A16,A17,A72,A54,A32"
5/16/2018,N0565,A49
5/16/2018,N0566,"A50,A38,A11,A63,A71,A1,A52"
5/16/2018,N0567,"A38,A11,on-air,A6,A31,A87"
5/16/2018,N0568,A45
5/16/2018,N0569,"A74,A16"
5/16/2018,N0570,A45
5/16/2018,N0571,A32
5/16/2018,N0572,off-air
